title,lat,lng
동대문역.2번출구,37.57204945,127.0117218
종각역YMCA,37.57033935,126.9850715
서교빌라,37.60198906,126.9571554
경복궁역,37.57707221,126.9724733
연건동,37.57612566,127.000745
성대입구,37.5832668,126.998853
무애사,37.61390043,126.9718458
단군성전앞,37.57556009,126.9653175
동대문종합시장,37.57117606,127.00614
상명초등학교,37.60092381,126.9567154
법련사,37.57658798,126.9796651
광화문새마을금고,37.57949309,126.9710277
성균관대학교,37.58503111,126.9972179
참샘골공원,37.61457226,126.9741212
활터앞,37.57681261,126.9653294
종로5가.3번출구,37.57141925,127.0020898
인사동들머리.3.1독립선언터,37.57194702,126.983297
정독도서관,37.58019153,126.9802007
오거리.한옥마을입구,37.57946844,126.9697393
평창공원지킴터입구,37.6163964,126.9757439
종로1가,37.57037,126.980129
종로도서관,37.57648423,126.9671252
종로사우나,37.57380111,126.9877504
엄마분식,37.60124243,126.9557163
삼청파출소,37.58164517,126.9813258
통인시장.종로구보건소,37.58033503,126.9687505
종로5가역,37.57067136,127.0000249
평창동산림제3초소,37.61723737,126.9770474
배화여중고,37.57675563,126.9678157
대학로입구.이화사거리,37.57598417,127.0025802
운현궁,37.57527161,126.9869814
상명대입구,37.60002101,126.9569583
삼청동주민센터,37.58468468,126.9822105
박노수미술관,37.58102656,126.9668945
김창열.윤명로화실,37.616305,126.9783685
사직동주민센터,37.57622069,126.9689039
충신시장,37.57497665,127.0054049
안국역2번출구앞,37.57717282,126.9861183
금융연수원,37.58587767,126.9818479
감람산기도원,37.61594393,126.979873
카센터.터널앞,37.57416446,126.9658593
재동초등학교,37.57879109,126.9853617
삼청공원삼거리.옥호정터,37.58741852,126.9817445
이화사거리,37.57532007,127.0022813
연화정사,37.614649,126.9794938
대신중고,37.57261781,126.9616893
현대사거리,37.57924178,126.9866354
교남동주민센터,37.5721523,126.96128
부암동주민센터.무계원,37.59293534,126.9637682
형제봉입구,37.61286432,126.9816862
교남동새마을금고,37.57149436,126.9623375
창신초교,37.57603721,127.0157201
가회동주민센터,37.57994265,126.9851294
볼링장,37.57925544,126.9879589
부암슈퍼,37.59476007,126.9638602
지구촌교회,37.61304685,126.9793482
월암공원,37.57118847,126.9639861
숭인1동주민센터,37.577415,127.0155607
북촌한옥마을입구.정세권활동터,37.58128077,126.9851687
하림각,37.59768473,126.9629664
보현빌라,37.61526153,126.9782816
스위스대사관,37.56998879,126.9658058
안국선원.삼거리,37.58274325,126.9852205
세검정교회,37.59956325,126.9594705
혜화동로터리,37.58591961,127.0010032
김종영미술관,37.61326379,126.9781123
서울시교육청,37.56924297,126.966825
창신쌍용1단지.종로센트레빌아파트,37.58032282,127.0155693
사우디대사관,37.58386331,126.9852486
상명대입구,37.59985447,126.9574023
혜화초등학교,37.58738929,126.9999909
강북삼성병원,37.56853152,126.9683377
청룡사.보문파크뷰자이아파트,37.57978465,127.0171509
감사원,37.58626565,126.9855618
국민생활관,37.5896276,126.9993138
종로센트레빌후문.e편한세상보문아파트,37.58189784,127.0162354
통일부,37.58753085,126.9861073
서울국제고등학교,37.58907429,126.9971408
성대후문.와룡공원,37.58915228,126.989734
상명초등학교,37.60090493,126.9568174
새마을금고,37.58784069,126.996569
경진빌라,37.60186409,126.9579482
명륜시장.성대후문,37.58872461,126.9952305
완성빌라,37.60333997,126.9576665
양현관,37.589768,126.9937686
상명대후문,37.60407158,126.9574634
샘미용실,37.59025457,126.9934084
산정빌라,37.60528358,126.9575782
구기빌라,37.60613345,126.9579809
마트앞,37.60669871,126.9587565
국민은행.세검정지점,37.60488731,126.960786
혜화역4번출구,37.58346324,127.0014561
방송통신대앞,37.57869736,127.0019927
서울대치과대학,37.57730607,126.9978749
효제초교.연동교회.김마리아활동터,37.57364134,127.0022088
성균관대학교,37.58846387,126.9900036
독립문역,37.57328385,126.9594078
서울대치과대학,37.57760163,126.9977741
이화사거리,37.57694834,127.0020085
서울대학교병원현관.암병원현관,37.57895147,126.9981568
종각.공평유적전시관,37.57159379,126.9832427
조계사,37.57360211,126.9831364
대학로,37.58189612,127.0021204
창경궁,37.57915963,126.9964163
창덕궁,37.57753017,126.9901776
인사동.북촌,37.57589502,126.9837978
경복궁.국립민속박물관,37.58020428,126.9797957
세종문화회관,37.5711272,126.9764644
통인시장,37.57911876,126.9713316
세종문화회관,37.57210269,126.9764099
종각역,37.56937996,126.9828944
인사동.탑골공원,37.57011554,126.9888006
종묘.세운상가,37.57037393,126.994195
광장시장,37.57062373,126.9996734
동묘.숭인동도깨비시장,37.5734766,127.0180439
서울풍물시장,37.57334003,127.0231781
청와대,37.58268481,126.97376
남대문세무서.서울백병원,37.56498481,126.9875299
서울백병원.국가인권위.안중근활동터,37.56435047,126.9878515
서울역버스환승센터,37.55514602,126.9722571
서울역버스환승센터,37.55544621,126.9723557
서울역버스환승센터,37.5553877,126.9727617
서울역버스환승센터,37.55547941,126.9728548
서울역버스환승센터.강우규의거터,37.55561382,126.9729706
숭례문,37.55863886,126.9737784
서울시청,37.56613826,126.9806321
만리동고개,37.55178706,126.9626582
손기정체육공원입구,37.55444595,126.9662339
서울의료보건고등학교.서울역서부,37.5565519,126.9679393
서울역서부,37.55632559,126.9693762
서울역서부,37.55699791,126.9692773
중림동교차로,37.55838363,126.9691354
종근당.충정로역,37.55951319,126.9644805
한국경제신문사.서소문역사공원,37.56021115,126.967868
한국경제신문사.서소문역사공원,37.56062347,126.9681135
경찰청.동북아역사재단,37.56304949,126.9691267
서대문경찰서.농협은행.유관순활동터,37.56490628,126.9677868
염천교,37.55985975,126.9733603
숭례문,37.55829684,126.9732933
숭례문.한국일보,37.55877131,126.9737376
후암삼거리,37.55334181,126.9760824
숭례문,37.55876338,126.9743627
숭례문,37.55841953,126.9740437
숭례문,37.55800065,126.9736279
남대문시장악세사리전문상가,37.55861324,126.9762052
숭례문남산방향,37.55855816,126.9756721
남대문시장,37.56119108,126.9800598
북창동.남대문시장,37.561175,126.97792
시청앞,37.56235846,126.9765742
삼성본관앞,37.56205175,126.9759075
시청앞,37.56276421,126.9761487
서소문,37.56320674,126.9748873
서소문,37.5636754,126.9753399
시청.서소문청사,37.56352484,126.9749539
서울신문사,37.56836329,126.9773647
우리은행종로지점,37.567519,126.9829289
롯데백화점,37.5644918,126.9820649
해운센터.롯데영프라자,37.56289078,126.9815478
롯데영프라자,37.562885,126.982008
신세계앞,37.56084925,126.9815256
남대문시장.회현역,37.55826752,126.9777651
남대문시장.회현역,37.55849203,126.9784645
남산3호터널,37.55845577,126.9826695
남산3호터널.서울애니메이션센터,37.55952609,126.9826359
명동입구,37.56065389,126.9852408
퇴계로2가.명동역,37.56089348,126.9844914
퇴계로3가.한옥마을.한국의집,37.56125082,126.9917772
퇴계로3가.한옥마을.한국의집,37.5609706,126.9921715
충무로역2번출구.대한극장앞,37.56122329,126.9949176
충무로역8번출구.대한극장앞,37.56203716,126.9964922
초동,37.56334618,126.993112
을지로입구.로얄호텔,37.56587574,126.9853903
을지로입구.시청입구,37.56613826,126.9811712
을지로2가.기업은행본점.서울노동청,37.56624623,126.9865234
을지로2가.파인에비뉴,37.56600948,126.9888282
을지로3가,37.56635564,126.9903756
을지로3가,37.56612052,126.9913276
을지로4가,37.56664702,126.9962179
을지로4가.베스트웨스턴국도,37.56640104,126.9968473
중구청앞.덕수중학교,37.5647746,126.9981401
을지로5가,37.56681829,126.9992585
을지로5가.중부시장,37.56662004,127.001115
방산시장.훈련원종합체육관,37.56796085,127.0024045
을지로5가.훈련원종합체육관,37.56582435,127.0025946
을지로6가.국립중앙의료원,37.56607471,127.0063778
광희동,37.56505283,127.0072097
광희동,37.56499511,127.0079579
을지로6가.국립중앙의료원,37.56646311,127.0058435
